"","urban","wildland","year"
"1",1606292.38443434,58211334.5576807,"2000"
"2",1616068.43600601,58209973.8735299,"2001"
"3",1627510.90993068,58277554.7234498,"2002"
"4",1639596.87253046,58296982.65079,"2003"
"5",1650233.86302263,58573605.7069204,"2004"
"6",1663068.08157691,58434945.7548001,"2005"
"7",1675245.8351492,58443715.6286265,"2006"
"8",1688139.075268,58501865.2983208,"2007"
"9",1700112.20601675,58527788.8691497,"2008"
"10",1712113.11787465,58520579.2946727,"2009"
"11",1724668.93790841,58553721.3871152,"2010"
"12",1737548.09259284,58373889.1585395,"2011"
"13",1751757.53513283,58383620.7672389,"2012"
"14",1767413.65604508,58453604.9333416,"2013"
"15",1782289.81756991,58428817.0074431,"2014"
"16",1798319.49090916,58593589.518857,"2015"
"17",1798836.97166738,58640996.91108,"2016"
"18",1801324.22815639,58670112.2762745,"2017"
"19",1802298.4897837,58823229.8076098,"2018"
"20",1803124.35615018,58974532.7376585,"2019"
