2000,REGION,id,u+_10,u-_10,w+_10,w-_10,u+_20,u-_20,w+_20,w-_20,v2010,v2020
68735.5390625,1,1,4399.32421875,-1190.15856933594,627.942199707031,-1262.61401367188,24691.390625,-745.259521484375,1471.94982910156,-1106.69714355469,71310.0328979492,93046.9228515625
389954.4375,2,2,17327.515625,-4612.56787109375,4023.1552734375,-8506.65234375,86580.1953125,-4528.287109375,6560.052734375,-5910.68896484375,398185.888183594,472655.709472656
65658.796875,3,3,3162.05932617188,-979.010437011719,745.772766113281,-1039.63012695313,21928.509765625,-1793.55480957031,1430.78576660156,-4042.20288085938,67547.9884033203,83182.3347167969
11383.6171875,4,4,2185.60278320312,-487.791381835938,234.385787963867,-319.958374023438,3707.78637695313,-82.3889007568359,47.5124320983887,-437.682434082031,12995.8560028076,14618.8446617126
97277.5,5,5,10000.83203125,-3034.93823242188,2107.7265625,-2812.16723632813,28988.92578125,-637.190979003906,408.070892333984,-3494.57299804688,103538.953125,122542.732696533
185268.890625,6,6,8339.2158203125,-6096.4921875,8777.98046875,-5963.82763671875,10178.876953125,-2297.4931640625,5135.95068359375,-2008.47827148438,190325.767089844,196277.746826172
35307.61328125,7,7,3090.18212890625,-1426.64196777344,3451.02319335938,-3302.57568359375,32515.173828125,-558.775207519531,1408.71337890625,-3518.869140625,37119.6009521484,65153.8561401367
58516.6015625,8,8,7227.4423828125,-2401.59716796875,2255.42211914063,-3314.04907226563,26334.1171875,-422.115295410156,137.149032592773,-2996.04809570313,62283.8198242188,81569.7043914795
60651.0859375,9,9,7868.09228515625,-3411.6962890625,1016.31390380859,-1654.86608886719,28437.197265625,-309.750396728516,204.006744384766,-1269.34704589844,64468.9297485352,87713.1925048828
99193.6484375,10,10,7592.99169921875,-7188.7724609375,2010.02026367188,-2728.2431640625,35937.640625,-3998.6083984375,3443.6494140625,-1364.24523925781,98879.6447753906,133212.084838867
251486.6875,11,11,30754.49609375,-9834.4619140625,24410.201171875,-12738.39453125,130060.7421875,-4202.744140625,13192.390625,-15927.5986328125,284078.528320313,374609.477539063
34308.25,12,12,4573.99462890625,-1177.11779785156,6948.10888671875,-3234.54345703125,20154.755859375,-709.894470214844,1025.62377929688,-2395.05102539063,41418.6922607422,52383.6841430664
20111.86328125,13,13,2439.91162109375,-1797.486328125,414.610809326172,-621.518737792969,12199.1533203125,-1319.4755859375,1012.35211181641,-1086.27026367188,20547.380645752,30917.6228637695
44909.45703125,14,14,3453.08081054688,-2627.65502929688,1911.10961914063,-1614.53759765625,11970.6748046875,-2069.29174804688,741.869201660156,-3002.97607421875,46031.4548339844,52549.733215332
