"","year","fwi","maxTemp","x"
"1","2000",15.4782762968825,13.3275789668454,1
"2","2001",15.8229824165045,13.609288855229,2
"3","2002",16.3410400669512,13.742281679465,3
"4","2003",15.9193015218453,13.8130299858722,4
"5","2004",15.9191827124798,13.4891981584801,5
"6","2005",16.324329393745,14.0742060571955,6
"7","2006",16.1243912460983,13.8951904291015,7
"8","2007",16.6221759708124,14.0901538331266,8
"9","2008",16.6595978531639,13.8304152504149,9
"10","2009",16.5652645994685,13.7085696425978,10
"11","2010",16.1317665620822,14.1622264514382,11
"12","2011",16.0290170666382,13.8714768438539,12
"13","2012",16.7927083825464,13.9941599176275,13
"14","2013",16.4111231296598,13.9390671995195,14
"15","2014",16.2878504107564,13.9696361983183,15
"16","2015",16.502224781656,14.2774886858384,16
"17","2016",16.1781268718584,14.5858518349404,17
"18","2017",16.5846937079034,14.375128834222,18
"19","2018",16.5659765767245,14.1116219193888,19
"20","2019",16.83609625366,14.4759637294521,20
"21","2020",17.0700638460798,14.6431959016202,21
