"","count","frp","year","x"
"1",5184272,234123405.1,"2003",4
"2",5127336,231003401.4,"2004",5
"3",5158284,223534526.9,"2005",6
"4",4721882,207088456.9,"2006",7
"5",5172627,230183716.9,"2007",8
"6",4855531,203657118.2,"2008",9
"7",4488383,185985340.6,"2009",10
"8",4742107,205423778.3,"2010",11
"9",4722658,212403320.9,"2011",12
"10",4983109,224841437.7,"2012",13
"11",4248841,176019613.2,"2013",14
"12",4461419,193163388.7,"2014",15
"13",4772188,205553530.2,"2015",16
"14",4443358,177870148.7,"2016",17
"15",4478281,199378697.8,"2017",18
"16",4210218,186970045,"2018",19
"17",4606007,198203322.2,"2019",20
"18",4464712,191058332.4,"2020",21
